 ,,,,,,,,,,,,,,,CONSUMOS COSTEO,,,,,,CONSUMOS COSTEO,,,,,,,,,,,,,,,,,,CONSUMOS COSTEO (VERIFICACION),,,,,,,,,,,,,,,,,CONSUMOS EXPLOSION(CONTRAMUESTRAS),,,,,,,,,,CONSUMOS COSTEO,,X,REF PDT POR TERMIANAR  TALLER SIN COSNUMOS
,,,,,,,,,EQUIPO CREATIVO,,,,,,EQUIPO CREATIVO,,,,,,DISEÑADOR TECNICO,,,,,,,,,,,,,,,,,,EQUIPO TRAZO Y CORTE,,,,,,,,,,,,,,,,,EQUIPO TRAZO Y CORTE,,,,,,,,,,0,0,COSTEO,X
,,,,,,,,,,,,,,EQUIPO COSTEO,DISEÑADOR CREATIVO,CAMBIO MOLDERIA,CONSUMO,CONSUMO,CONSUMO,OBSERVACIONES,DISEÑADOR TECNICO,SOLIDO,,,,,MOD DE ARTE,,,,,UBICACION EN TRAZO,,,,,OBSERVACIONES/COMENTARIOS,,SOLIDO,,,,,,MOD. DE ARTE,,,,,,UBICACION EN TRAZO,,,,OBSERVACIONES,SOLIDO,,,MOD. DE ARTE,,,UBICACION EN TRAZO,,,OBSERVACIONES,,,TERMINADO EN TALLER Y SIN CONSUMOS,
REF,FOTO,REFERENCIA,STATUS,MOD.ARTE,UBI. TRAZO,VARIACION COLOR,,LARGO,USO EN PRENDA,CODIGO TELA,DESCRIPCION TELA,ANCHO,TELA FOTO,CONSUMO BASE,,,,,,,,TALLA,UND,CONSUMO 1,CONSUMO 2,CONSUMO 3,TALLA,UND,CONSUMO 1,CONSUMO 2,CONSUMO 3,TALLA,UND,CONSUMO 1,CONSUMO 2,CONSUMO 3,,A RIESGO/O VALIDADO POR LINA PEÑA,TALLA,UND,CONSUMO,CONSUMO,CONSUMO,CONSUMO,TALLA,UND,CONSUMO,CONSUMO,CONSUMO,,TALLA,UND,CONSUMO,CONSUMO,,TALLA,UND,CONSUMO,TALLA,UND,CONSUMO,TALLA,UND,CONSUMO,,TEC,TRAZADOR,,
1,,NOMBRE SISTEMA,CANCELADO,,,,,,,,#N/A,#N/A,#N/A,,CLAUDIA,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSUMOS COSTEO,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSUMOS EQUIPO TECNICO INGRESADOS EN SAP,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSUMOS EQUIPO TECNICO SIN INGRESAR A SAP (SARA),
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REF TERMINADAS TALLER  SIN CONSUMOS,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REF PDT POR TERMIANAR  TALLER SIN COSNUMOS,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PT,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,INSUMOS CON RECORRIDOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,NOMBRE SISTEMA,APROBADO,,,,,,TELA LUCIR,TE00008887,#N/A,#N/A,#N/A,,FER,SI,2.16 MTS ,,,,DANIELA GARCIA ,8,1,"2,09",,,,,,,,,,,,,"SE TRABAJO UN ANCHO DE 1,39 TENIENDO EN CUENTA LOS HALLAZGOS DE PLANTA DE PRODUCCION (LAS PRETINAS QUEDARON CON MARGEN DE FUSINABLE Y ENCOGIMIENTO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSUMOS COSTEO,
,,,,,,,,,TELA FORRO,TEN0007502,#N/A,#N/A,#N/A,,,,0.23 CMS,,,,,,,"1,42",,,,,,,,,,,,,LAS PRETINAS QUEDARON CON MARGEN DE FUSIONABLE Y ENCOGIMIENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSUMOS EQUIPO TECNICO INGRESADOS EN SAP,
,,,,,,,,,FUSIONABLE,TEN0002393,#N/A,#N/A,#N/A,,,,0.21 CMS,,,,,,,"0,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSUMOS EQUIPO TECNICO SIN INGRESAR A SAP (SARA),
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REF TERMINADAS TALLER  SIN CONSUMOS,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REF PDT POR TERMIANAR  TALLER SIN COSNUMOS,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PT,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,INSUMOS CON RECORRIDOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RESORTE PLANO DE 7 MM ,,,,,,,,,,,,,,,"0,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CINTA RAZO  DE  3 MM ,,,,,,,,,,,,,,,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,HILO RESORTE  BLANCO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,NOMBRE SISTEMA,EN PROCESO,,,,,,TELA LUCIR,TE00008887,#N/A,#N/A,#N/A,,OSMAN,SI,2.3,,,,,,,,,,,,,,,,,,,,,,M,10,2.03,,,,,,,,,,,,,,SE TRABAJA CON ANCHO DE 1.39 PORQUE ASI LLEGA LA TELA A PRODUCCION,,,,,,,,,,,,,CONSUMOS COSTEO,
,,,,,,,,,TELA FORRO,TEN0007502,#N/A,#N/A,#N/A,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSUMOS EQUIPO TECNICO INGRESADOS EN SAP,
,,,,,,,,,SESGOS FORRO,TEN0007502,#N/A,#N/A,#N/A,,,,,,,CONSUMO LINEAL 14 MTS (3 CM AL SESGO) ,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,"Consumo lineal (14 mts), Ancho sesgo (3 cms), Sentido al SESGO",,,,,,,,,,,,,0,
,,,,,,,,,FUSIONABLE,TEN0002393,#N/A,#N/A,#N/A,,,,0.90,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSUMOS EQUIPO TECNICO SIN INGRESAR A SAP (SARA),
