,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO TOCAR ESTAS COLUMNAS,,,,,,,,NO TOCAR ESTAS COLUMNAS,,,,,,,ACTUALIZADO CON ARCHIVO COMERCIAL ENVIADO EL: 1 de Abril 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,NO TOCAR ESTAS COLUMNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROCESOS ADICIONALES,,,,,,,,,,,,,,,,STATUS ENTREGABLE COSTEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMENTARIOS DE COLECCION ,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDADES DE PRODUCCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REFERENTES,,,STATUS DE COLECCION,,,,,,,,,,,,INCLUDES,,TELA DE LUCIR MUESTRA COLECCION,,,,,TELA DE FORRO MUESTRA COLECCION                                ,,,,,,,VARIACION DE COLOR,,EMPAQUES,MARQUILLA SATINADA FORRADA,BORDADO EN PRENDA,,SEMIELABORADOS,,PROCESO EXTERNO,,,,,ENTREGABLES COLECCION,,,,,,,TELAS,,,,,,INSUMOS,,,BORDADO,,TOTAL,,,SEMANA 1 - COMENTARIOS DE MEDICION,,,,,SEMANA 2 - COMENTARIOS DE MEDICION,,,,,,,SEMANA 3 - COMENTARIOS DE MEDICION,,,,,SEMANA 4 - COMENTARIOS DE MEDICION,,,,,SEMANA 5 - COMENTARIOS DE MEDICION,,,,,SEMANA 6 - COMENTARIOS DE MEDICION,,,,,SEMANA 7 - COMENTARIOS DE MEDICION,,,,,,,,EQUIPO TECNICO,,,,,,INFORMACION LOGISTICA MEUSTRA COLECCION,,,,,COMPOSICIONES MUESTRA COLECCION,,,,,,,,COMPOSICIONES PRODUCCIÓN,,,,,,,4.334,,,,,,,,,,,,,,COMERCIAL 14 ABRIL: 91 ref,4515 UND,,COMERCIAL 16 ABRIL: 90 ref,,,,,,,,4503 UND,,,,
REF,IMAGEN,CODIGO MD,CODIGO PT,NOMBRE REFERENCIA,COLOR,COD COLOR,FOTO BASADO EN,PT, BASADO EN,STATUS,DISEÑADOR,#REF!,#REF!,#REF!,LINEA,SUBLINEA,TIPO REF, TALLAJE ,LARGO,CLOSURE,LINNED,INCLUDES,INCLUDES DE PAQUETE COMPLETO EN PLANTA,CODIGO TELA DE LUCIR PRINCIPAL EN MUESTRA,FOTO TELA,DESCRIPCION TELA,ANCHO TELA ,BASE TEXTIL,CODIGO TELA DE LUCIR PRINCIPAL EN MUESTRA,FOTO TELA,DESCRIPCION TELA,ANCHO TELA ,MOD. DE ARTE,UBICACION EN TRAZO,ALL OVER,VARIACION DE COLOR,REF,TIPO DE EMPAQUE,APLICA O NO,APLICA O NO APLICA,DESCRIPCION,APLICA O NO APLICA,DESCRIPCION,PROVEEDOR,PROCESO EXTERNO,COSTO,STYLING,FOTO PRODUCTO,COMENTARIOS,TERMINADO EN TALLER PARA COSTEO TELAS,#REF!,#REF!,#REF!,#REF!,#REF!,REFERENTE / CONSUMO ESTANDAR,CONSUMO REFERENTE,TECNICO,CONSUMO,TRAZADOR,CONSUMO,REFERENTE/CONSUMO APROXIMADO,VALIDADO,BORDADO STATUS PRENDA FISICA COLECCION,CONSUMO APROXIMADO,VALIDADO,FULL,jueves 15 enero,viernes 16 enero,lunes 19 enero,martes 20 enero,miércoles 21 enero,jueves 22 enero,viernes 23 enero,lunes 26 enero,martes 27 enero,miércoles 28 enero,jueves 29 enero,viernes 30 enero,sábado 31 enero,domingo 1 febrero,lunes 2 febrero,martes 3 febrero,miércoles 4 febrero,jueves 5 febrero,viernes 6 febrero,lunes 9 febrero,martes 10 febrero,miércoles 11 febrero,jueves 12 febrero,viernes 13 febrero,lunes 16 febrero,martes 17 febrero,miércoles 18 febrero,jueves 19 febrero,viernes 20 febrero,lunes 23 febrero,martes 24 febrero,miércoles 25 febrero,jueves 26 febrero,viernes 27 febrero,lunes 2 marzo,martes 3 marzo,miércoles 4 marzo,jueves 5 marzo,viernes 6 marzo,domingo 8 marzo,lunes 9 marzo,COMENTARIOS TELAS PARA UBICACION O MOD,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ACTUALIZACION DE MODELO, NOTA DE FABRICACION,GESTION DE LA NOTA,CODIGO DE BARRAS,UBICACION,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,COMEX,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,0,2,4,6,8,10,12,XS,S,M,L,XL,TOTAL,,COMENTARIO,UNDS,,0,2,4,6,8,10,12,XS,S,M,L,XL,TOTAL
1,,MD03860,PT04182,,,,N/A,N/A,N/A,CANCELADO CORTADO,MARIA DEL MAR,,,,SKIRTS,,SK, 0-2-4-6-8-10-12 ,,,,,N/A,TEN0007422,,"CUERO CONFECCIÓN ATENAS, COL.MILITARY GREEN 19-0323 TCX p.29",N/A,LEATHER,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quitar cms en centro posterior y se define el largo despues,,,"Hacer lab de alforzas entre la masculina y la fem
YA LAS PRESENTO",,,,,,,,,,CANCELADO SE PROGRAMA EN CUERO NEGRO,,,,,,,,,REVIVE,,,CANCELADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
2,,MD03861,PT04183,EVE DE ORO TOP,BLACK / GREEN,5328,N/A,N/A,N/A,CANCELADO POR COMERCIAL,FER,,,,TOPS,TOP,TP, 0-2-4-6-8-10-12 ,N/A,BACK BUTTONS,NO,N/A,N/A,TE00012274,,"PRINTED CDC 16mm, art.090625/Jw PARKER - FASAC, ART FW26 ONEIRIC FLORALBLACK PINK 36 CM",1.35,SILK CDC,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,si pero se cancelo,,,,,,,,,,,,X,"3,35mt
MOD DE ARTE",,X,#N/A,,,X,PROGRAMACION,,"Puños con velvet en lucir, Sesgo  en CDC negro en escote, Enmarcar boleros con sesgo negro,Sistema de ajuste con botones de palma negros",Revisar los bichos bordados( en esper al viernes cuáles quedarán aprobados para enviar a desarrollar). TE00002773,,SE LE AGREGAN HOMBRERAS,,,,,,,,,,,,,,,,,"escote en V  

El velvet del puño debe quedar interno, 


cogerle 2 cm en el cuello",,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
3,,MD03862,PT04184,LA PRIMERA LUZ MAXI DRESS,BLACK / RED,5914,N/A,N/A,N/A,APROBADO,MARIA DEL MAR,,,,DRESSES,MAXI,DS, 0-2-4-6-8-10-12 ,MAXI 115CM,BACK ZIPPER,ONLY THE TOP,N/A,N/A,TE00012268,,"PRINTED CDC 16mm, art.090625/Jw PARKER - FASAC, ART FW26 FANTASY GARDEN BLACK RED 70CM",1.35,SILK CDC,TE00004662,,CREPE DE SEDA NEGRO PV1200/196 44 45,"1,1",SI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,SI,,,,,,,,,,,,X,"8,78MT
MOD DE ARTE",,x,#N/A,,,X,PROGRAMACION,,"quitar en posterior hasta punta de cadera, se le agrega moño con codigo de alforzas en el nudo",,,"CONSERVAR LARGO, DRAPEAR MAS EL DELANTERO, Y BOLSILLOS ESCONDIDOS",,,"HACER TOP IRREGULAR CON CAPA EN UN SOLO HOMBRO, UBICAR LOS BOLSILLO REIBETES, LA FALDA ESTA OKEY, EL LADO DEL LADO DEL STRAPLE VA NEGRO , CON HOMBRERA NORMAL DE TOP",,,,,,QUE MUERA EN POSTERIOR,,,,,,,,,,,,,,,,,,,,,,"La llegada de este vestido no está bonita, Tiene q llegar a punto de pinza",,,,,,,,,,,,OK,13776,OK,,,,,,,,,,,,,,,,,,3,6,6,5,2,2,1,,,,,,25,,Referencia continua a producción,25,X,3,6,6,5,2,2,1,,,,,,25
4,,MD03863,PT04185,SACRED SPARK TOP,BLACK / RED,5914,N/A,N/A,N/A,CANCELADO POR COMERCIAL,MARIA DEL MAR,,,,TOPS,TOP,TP, 0-2-4-6-8-10-12 ,N/A,SNAPS,SI,N/A,N/A,TE00012272,,"PRINTED CDC 16mm, art.090625/Jw PARKER - FASAC, ART FW26 MAGNOLIA TREE BLACK RED 60CM",1.35,SILK CDC,TE00004662,,CREPE DE SEDA NEGRO PV1200/196 44 45,"1,1",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,si pero se cancelo,,,,,,,,,,,,X,"2,99 MT
MOD DE ARTE",,X,#N/A,,,X,PROGRAMACION,,,"Que haya como un ojal, que sea funcional, quitarle vuelo a la falda en posterior, Fajon de alforzas de 10 cm de ancho, Ubicación aprobado, con la tela 2 (flores más grandes) , sesgos en bolero, el bolero puede ir con flor, ponerle puños, Bolero con flor, cortarlo y traerlo para alfilerar",CAMBIA DE SILUETA,,,,SE DENIFE QUE SE HAGA UNA FALDA (NO SE MIDE)  QUEDE SOLO COMO FALDA DESCCADERADA Y MAS EXAGERADAAA,,NUEVO,,,,,,,,,,REVIVE CON MODIFICACIONES,"SE CONVIERTE EN TOP

El cuello debe cruzar mas, abrazando el cuello.

para producción y que lo tengan presente  todas las referencias  igual a este que tengan boleros  deben tener piola en contorno.
",,,"cambiarle las mangas por las de mar, quitandole 3 cm",,,,,,,,,,,REVISAR QUE SISTEMA DE CIERRE PUEDE TENER PARA QUE TENGA LA SOLAPITA CON FORMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
5,,MD03864,PT04186,,,,N/A,N/A,N/A,CANCELADO CORTADO,BURGOS,,,,DRESSES,,DS, 0-2-4-6-8-10-12 ,,,,,N/A,TE00012325,,"PRINTED TWILL, art.MENTON - LISA, ART FW26 BEETTLE WINDOWS BLACK GREEN PEACH 45CM",1.48,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAMACION,,Revisar para que se le vea una luz en el escote,"Disminuir la proporción del nudo, BOTONES PALMA NEGROS",,,,,ENMARCAR EN MITAD DE CENEFA CENTRO DELANTERO DE ESCOTE Y ALREDEDOR DE LA CAPA,,,,,,,CANCELADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
6,,MD03892,PT04206,,,,,PT03735,EASY TAILOR JACKET SS26,CANCELADO CORTADO,OSMAN,,,,OUTWEAR,JACKET,OW, XS-S-M-L-XL ,N/A,,,,N/A,TE00012327,,"PRINTED TWILL, art.MENTON - LISA, ART FW26 BEETTLE WINDOWS WINE BLUE 45CM",1.48,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAMACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,#N/A,#N/A,,,,,,,,,,,,,,0
