,,,,,,,,, ,,,NO TOCAR ESTAS COLUMNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROCESOS ADICIONALES,,,,,,,,,,,,,,,,,,,,,,STATUS ENTREGABLE COSTEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMENTARIOS DE COLECCION ,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDADES DE PRODUCCION,,,,,,,,,,,,
,,,,,,,REFERENTES,,,STATUS DE COLECCION,,,,,,,,,,,,INCLUDES,,TELA DE LUCIR MUESTRA COLECCION,,,,,TELA DE FORRO MUESTRA COLECCION                                ,,,,,,,,VARIACION DE COLOR,,EMPAQUES,MARQUILLA SATINADA FORRADA,BORDADO EN PRENDA,,SEMIELABORADOS,,PROCESO EXTERNO,,,,,ENTREGABLES COLECCION,,,,,,,REFERENTES DISEÑO TECNICO,,,,,,TELAS,,,,,,INSUMOS,,,BORDADO,,TOTAL,SEMANA 1 - COMENTARIOS DE MEDICION,,,,,SEMANA 2 - COMENTARIOS DE MEDICION,,,,,SEMANA 3 - COMENTARIOS DE MEDICION,,,,,SEMANA 4 - COMENTARIOS DE MEDICION,,,,,SEMANA 5 - COMENTARIOS DE MEDICION,,,,,SEMANA 6 - COMENTARIOS DE MEDICION,,,,,SEMANA 7 - COMENTARIOS DE MEDICION,,,,,,,,EQUIPO TECNICO,,,,,,INFORMACION LOGISTICA MEUSTRA COLECCION,,,,,,COMPOSICIONES MUESTRA COLECCION,,,,,,,,COMPOSICIONES PRODUCCIÓN,,,,,,,0,,,,,,,,,,,,
REF,IMAGEN,CODIGO MD,CODIGO PT,NOMBRE REFERENCIA,COLOR,COD COLOR,FOTO BASADO EN,PT, BASADO EN,STATUS,DISEÑADOR,STATUS TALLER,MODISTA,FOTOS INTERNAS,LINEA,SUBLINEA,TIPO REF, TALLAJE ,LARGO,CLOSURE,LINNED,INCLUDES,INCLUDES DE PAQUETE COMPLETO EN PLANTA,CODIGO TELA DE LUCIR PRINCIPAL EN MUESTRA,FOTO TELA,DESCRIPCION TELA,ANCHO TELA ,BASE TEXTIL,CODIGO TELA DE FORRO,FOTO TELA,DESCRIPCION TELA,ANCHO TELA ,MOD. DE ARTE,UBICACION EN TRAZO,ALL OVER,SUGERENCIA MOD/UBC,VARIACION DE COLOR,REF,TIPO DE EMPAQUE,APLICA O NO,APLICA O NO APLICA,DESCRIPCION,APLICA O NO APLICA,DESCRIPCION,PROVEEDOR,PROCESO EXTERNO,COSTO,STYLING,FOTO PRODUCTO,COMENTARIOS,TERMINADO EN TALLER PARA COSTEO TELAS,ENTREGABLE CREATIVO,"ENTREGABLE TECNICO  
 (En proceso)",ENTREGABLE TECNICO (Completo),ENTREGABLE TRAZADOR,ENVIO DE MOD DE ARTE,FOTO BASADO EN,PT, BASADO EN,TIPO DE CONSUMO,SUGERENCIA MOD/UBC,COMENTARIOS COSTEO PARA ENTREGA,REFERENTE / CONSUMO ESTANDAR,CONSUMO REFERENTE,TECNICO,CONSUMO,TRAZADOR,CONSUMO,REFERENTE/CONSUMO APROXIMADO,VALIDADO,BORDADO STATUS PRENDA FISICA COLECCION,CONSUMO APROXIMADO,VALIDADO,FULL,lunes 23 marzo,martes 24 marzo,miércoles 25 marzo,jueves 26 marzo,viernes 27 marzo,lunes 30 marzo,martes 31 marzo,miércoles 1 abril,jueves 2 abril,viernes 3 abril,lunes 6 abril,martes 7 abril,miércoles 8 abril,jueves 9 abril,viernes 10 abril,lunes 13 abril,martes 14 abril,miércoles 15 abril,jueves 16 abril,viernes 17 abril,,,,,,,,,,,,,,,,,,COMENTARIOS TELAS PARA UBICACION O MOD,ESPECIFICACION DE CONFECCION #1,ESCALADO MOLDERIA #1,COMENTARIOS INGENIERIA,COMENTARIOS TRAZO,COMENTARIOS COSTEO,SUGERENCIA MOD/UBC,ACTUALIZACION DE MODELO, NOTA DE FABRICACION,GESTION DE LA NOTA,CODIGO DE BARRAS,UBICACION,revision creativos,INFORMACION SAP,DESCIPTION USA-UK,"FIBER COMPOSITION",WOVEN,INSIDE,INCLUDE,OBSERVACIONES,COMEX,INFORMACION SAP,DESCIPTION USA-UK,"FIBER COMPOSITION",WOVEN,INSIDE,INCLUDE,OBSERVACIONES,0,2,4,6,8,10,12,XS,S,M,L,XL,TOTAL
1,,MD04139,-,,,,N/A,N/A,N/A,CANCELADO CORTADO,CLAUDIA,CANCELADO,LUCY RAMOS,,TOPS,,TP, 0-2-4-6-8-10-12 ,,,,,,,,,#N/A,,,,#N/A,#N/A,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,,CANCELADO,CANCELADO,,,,,,,,,,,,,,,PROGRAMACION,,,,,,,,,,,,,,,CANCELADO SE PROGRAMA EN OTRA TELA,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELADO,,,,,,,,WOMEN TOP IN WOVEN FABRIC,,WOVEN,,,,,,,,,,,,,,,,,,,,,,,,
2,,MD04215,PT04444,ECRU FEMININITY DRAMATIC PANT,,,,PT03402,ECRU/SAND FEMININITY DRAMATIC PANT WS26,EN PROCESO,FER,TERMINADO,ISABEL VALENCIA,OK FOTO PRENDA,PANTS,PANT,PS, 0-2-4-6-8-10-12 ,,,,N/A,N/A,TE00008887,,"SOLID LINEN JULIA 43003, COL. VANILA 1591","1,5",LINEN,,#N/A,#N/A,#N/A,N/A,N/A,N/A,SOLIDO,,,,,,,,,,,,,SI,,,OK,,,,,#N/A,#N/A,,PARAMETRIZACIÓN,SOLIDO,,X,"2.41 MT
MOD DE ARTE",,,,,x,,#N/A,,,,,PROGRAMACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLIDO,MARQUILLA OK,,,,,CAMBIO,,WOMEN PANT IN WOVEN FABRIC,100% ORGANIC LINEN,WOVEN,N/A,,OK,,,WOMEN PANT IN WOVEN FABRIC,100% ORGANIC LINEN,WOVEN,,,,,,,,,,,,,,,,
3,,MD04156,PT04470,THE ROOT CODE JACKET,,,,PT03409,ECRU/SAND UNFOLDED MOMENT JACKET WS26,EN PROCESO,OSMAN,CALIDAD,SINDY VASQUEZ,,OUTWEAR,JACKET,OW, XS-S-M-L-XL ,,,,EMBROIDERED,N/A,TE00008887,,"SOLID LINEN JULIA 43003, COL. VANILA 1591","1,5",LINEN,,#N/A,#N/A,#N/A,N/A,N/A,N/A,SOLIDO,,,,,,,,,,,,,,,,OK,OK,,,,#N/A,#N/A,,TRAZO,SOLIDO,,,"2.79 MT
MOD DE ARTE",,,X,2.07MTS,X,,TERMINADO,,,,,PROGRAMACION,,,,,,,,,,,,realizar palmas en bordado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLIDO,OK MARQUILLA,,,,,igual pero con el bordado,,WOMEN JACKET IN WOVEN FABRIC,100% ORGANIC LINEN,WOVEN,,,,,,WOMEN JACKET IN WOVEN FABRIC,100% ORGANIC LINEN,WOVEN,,,,,,,,,,,,,,,,
4,,MD04140,PT04445,,,,N/A,N/A,N/A,CANCELADO CORTADO,YAMILET,CANCELADO,FANNY GOMEZ,,TOPS,TOP,TP, 0-2-4-6-8-10-12 ,,,,,,TEL0005683,,ALGODON GAZA MARFIL,,,,,#N/A,#N/A,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,,CANCELADO,CANCELADO,,,,,,,,,,,,,,,PROGRAMACION,,,,,,,,,,,,MEDIDIO,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,,,,"subirl la altura del corte de manga por orillo
LLEVA VIVO PIOLA  GRUESA EN BORELO ESCOTE ",,,CANCELADO,,,,,,,,WOMEN TOP IN WOVEN FABRIC,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,MD04290,PT04471,,,,N/A,N/A,N/A,CANCELADO CORTADO,CLAUDIA,CANCELADO,LUCY RAMOS,,SWIMWEAR,BIKINI TOP,SW, XS-S-M-L-XL ,,,,EMBROIDERED,N/A,TEN0007174,,LYCRA BAHIA 33474 NUDE COL TEST 1 161310,1.56,LYCRA,TEN0007174,,LYCRA BAHIA 33474 NUDE COL TEST 1 161310,1.56,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,,CANCELADO,CANCELADO,,,,,,,,,,TERMINADO,,,,,PROGRAMACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELADO,,,,,,NUEVO,,WOMEN BIKINI TOP KNITTED,"80% POLYESTER
20% ELASTANE",KNITTED,,,,,,,,,,,,,,,,,,,,,,,,
6,,-,-,,,,,PT03851,ECRU CALIDA GUAYABERA SS26,CANCELADO SIN CORTAR,FER,CANCELADO,,,TOPS,,TP, 0-2-4-6-8-10-12 ,,,,,,TE00008887,,"SOLID LINEN JULIA 43003, COL. VANILA 1591","1,5",,,,#N/A,#N/A,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,,CANCELADO,CANCELADO,,,,,,,,,,,,,,,,PROGRAMACION,CANCELADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELADO,,,,,,,,,100% ORGANIC LINEN,WOVEN,,,,,,,,,,,,,,,,,,,,,,,,
7,,MD04217,PT04446,,,,,,CURSOS DEL RIO EMBROIDERED TOP,CANCELADO CORTADO,CLAUDIA,CANCELADO,ENEIDA MACA,,TOPS,TOP,TP, 0-2-4-6-8-10-12 ,,,,N/A,N/A,,,#N/A,#N/A,EMBROIDERED COTTON,,#N/A,#N/A,#N/A,,,,CANCELADO,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,,CANCELADO,CANCELADO,,,,,,,,,,CANCELADO ,,,,,,PROGRAMACION,,,,"revisar estructura. 
 mangas ( limpiar zurcido) 

revisar posterior y corte rangla.


 cambiar escote delantero como flecha separación 3cm.",,,,,,,,,,CERRAR ESCOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELADO,,,,,,CAMBIO,,WOMEN TOP IN WOVEN FABRIC,sin info,WOVEN,,,,,,,,,,,,,,,,,,,,,,,,
