DESCRIPCION,CODIGO
WHITE,0001
BLACK,0002
BPT,0003
ANIS TRUFFLE,0004
BEIGE,0005
AQUA/SALMON,0006
BLUE,0007
MALVA,0008
SAND,0009
TAUPE,0010
CAMEL,0011
CAOBA,0012
CAFÉ CLARO,0013
CACAO,0014
TABACO,0015
CHOCOLATE,0016
MARRON,0017
CAFÉ,0018
TERRACOTA,0019
LADRILLO,0020
ROSADO,0021
PALO DE ROSA,0022
CORAL,0023
SALMON,0024
ROSA VIEJO,0025
NATURAL,0026
MANDARINA,0027
NARANJA,0028
NARANJA OSCURO,0029
MOSTAZA,0030
MIEL,0031
LILA,0032
MAGENTA,0033
MORADO,0034
MORADO OBISPO,0035
FUCHSIA,0036
MORA EN LECHE,0037
VIOLET,0038
CHERRY,0039
PURPURA,0040
UVA,0041
BERENJENA,0042
CEREZA,0043
ROJO,0044
ROJO ESCARLATA,0045
ROJO OSCURO,0046
BORGOÑA,0047
VINOTINTO,0048
VERDE TURQUESA,0049
AMARILLO,0050
PALE ROSE,0051
RUST,0052
CITRINE,0053
VERDE JADE,0054
VERDE,0055
VERDE CLARO,0056
VERDE LIMON,0057
VERDE OLIVA,0058
VERDE PETROLEO,0059
VERDE PISTACHO,0060
VERDE AGUAMARINA,0061
VERDE MILITAR,0062
AZUL,0063
AZUL TURQUEZA,0064
AZUL PETROLEO,0065
AZUL REY,0066
AZUL TURQUI,0067
AZUL VIOLETA,0068
AZUL ROYAL,0069
AZUL AGUAMARINA,0070
AZUL COBALTO,0071
AZUL CLARO,0072
GRIS,0073
GRIS CLARO,0074
GRIS MEDIO,0075
GRIS OSCURO,0076
GRIS PLOMO,0077
CARBON,0078
GRIS MEDIO JASPEADO,0079
COBRE,0080
DORADO,0081
PLATEADO,0082
OCRE,0083
BRONCE,0084
TRANSPARENTE,0085
MULTICOLOR,0086
VERDE ESMERALDA,0087
PETROLEO,0088
CURUBA,0089
AZUL ELECTRICO,0090
TURQUEZA,0091
NUDE,0092
VAINILLA OAK,0093
CEDA LIME,0094
AZUL OSCURO,0095
MARSALA,0096
VERDE MENTA,0097
PLUM,0098
TEAL,0099
COPPERTAN,0100
DANDELION,0101
CINNAMON,0102
CAMOUFLAGE,0103
CELESTE,0104
FIRE RED,0105
PEACHNOUGAT,0106
ROSETTE,0107
DESERT MIST,0108
MONK ORANGE,0109
SOFT OLIVE,0110
PORCELAIN/GREEN,0111
CASIS,0112
CAMEL/NECTARINE,0113
CHESNUT,0114
MOROCCAN,0115
EARTH,0116
CAMPARI,0117
SOFT PEACH,0118
GOLD ROSE,0119
VANILLA,0120
SOFT MONK,0121
ALMOND,0122
ECRU,0123
DESERT ROSE,0124
CHARCOAL,0125
MORROCAN BLUE,0126
PEWTER,0127
NECTARINE,0128
COPPER,0129
OFF WHITE,0130
TOBACCO,0131
JADE MIST,0132
IVORY,0133
OLD ROSE,0134
DIJON,0135
AZUL DENIM,0136
BURGUNDY,0137
BLUSH,0138
TARTAN,0139
AVELLANA,0140
KHAKI,0141
NEUTRAL,0142
PRINT,0143
METALLIC,0144
NIGHTS IN CALI,0145
SOFT GRAY,0146
PALOSANTO,0147
LEOPARD DUST,0148
DEEP CERULEAN,0149
CLASSIC LEOPARD,0150
PISTACHIO,0151
CAFFE MOCHA,0152
PERSIAN MAGENTA,0153
MEN'S BLUE,0154
POISON GREEN,0155
DESERT SPICE,0156
LEOPARD BLUSH,0157
MYSTIC GRAY,0158
INDIGO,0159
DIJON MUSTARD,0160
LEOPARD,0161
SLATEBLUE,0162
CHILI PEPPER,0163
SANGRIA,0164
SMOKE,0165
REDWOOD,0166
PETAL,0167
TRUFFLE,0168
MAPLE,0169
TURMERIC,0170
ANISROSÉ,0171
WASABI MIST,0172
RUBY FIESTA,0173
MARIGOLD,0174
COCO DE MER,0175
MATCHA LATTE,0176
SOFT NUDE,0177
AQUA,0178
APRICOT,0179
VIOLET FOG,0180
HUSBAND BLUE,0181
POMEGRANATE,0182
SANGRIA/ECRU,0183
