ID_CONSUMO,ID_TELA,ID_REFERENCIA,AREA,TIPO_TELA,VERSION,TALLA,UND,CONSUMO_VALOR,OBSERVACIONES,DISEÑADOR,CAMBIO_MOLDERIA,ES_FINAL,FECHA_REGISTRO,USUARIO_REGISTRO
1,2,2,CREATIVO,SOLIDO,1,,,2.16,,FER,SI,FALSE,2026-05-25,migracion
2,3,2,CREATIVO,SOLIDO,1,,,0.23,,FER,SI,FALSE,2026-05-25,migracion
3,4,2,CREATIVO,SOLIDO,1,,,0.21,,FER,SI,FALSE,2026-05-25,migracion
4,5,3,CREATIVO,SOLIDO,1,,,2.3,,OSMAN,SI,FALSE,2026-05-25,migracion
5,6,3,CREATIVO,SOLIDO,1,,,0.35,,OSMAN,SI,FALSE,2026-05-25,migracion
6,8,3,CREATIVO,SOLIDO,1,,,0.9,,OSMAN,SI,FALSE,2026-05-25,migracion
7,10,5,CREATIVO,SOLIDO,1,,,0.19,,CLAUDIA,NO,FALSE,2026-05-25,migracion
8,15,9,CREATIVO,SOLIDO,1,,,0.77,,MARIA DEL MAR,SI,FALSE,2026-05-25,migracion
9,17,9,CREATIVO,SOLIDO,1,,,0.31,,MARIA DEL MAR,SI,FALSE,2026-05-25,migracion
10,18,9,CREATIVO,SOLIDO,1,,,0.15,,MARIA DEL MAR,SI,FALSE,2026-05-25,migracion
11,19,10,CREATIVO,SOLIDO,1,,,0.21,,YAMILETH,NO,FALSE,2026-05-25,migracion
12,20,10,CREATIVO,SOLIDO,1,,,0.17,,YAMILETH,NO,FALSE,2026-05-25,migracion
13,21,12,CREATIVO,SOLIDO,1,,,2.93,,MARGARITA,SI,FALSE,2026-05-25,migracion
14,22,12,CREATIVO,SOLIDO,1,,,1.73,,MARGARITA,SI,FALSE,2026-05-25,migracion
15,24,15,CREATIVO,SOLIDO,1,,,2.1,,YAMILETH,SI,FALSE,2026-05-25,migracion
16,25,15,CREATIVO,SOLIDO,1,,,0.22,,YAMILETH,SI,FALSE,2026-05-25,migracion
17,26,15,CREATIVO,SOLIDO,1,,,0.03,"DE 2.8CM AL HILO PARA TIRA DE AMARRE, 1.50M LINEAL",YAMILETH,SI,FALSE,2026-05-25,migracion
18,27,15,CREATIVO,SOLIDO,1,,,0.05,"DE 3.2CM AL HILO PARA TERMINACIONES, 2.40M",YAMILETH,SI,FALSE,2026-05-25,migracion
19,28,16,CREATIVO,SOLIDO,1,,,0.18,,CLAUDIA,NO,FALSE,2026-05-25,migracion
20,29,16,CREATIVO,SOLIDO,1,,,0.18,,CLAUDIA,NO,FALSE,2026-05-25,migracion
21,31,17,CREATIVO,SOLIDO,1,,,0.42,,CLAUDIA,NO,FALSE,2026-05-25,migracion
22,32,17,CREATIVO,SOLIDO,1,,,0.41,,CLAUDIA,NO,FALSE,2026-05-25,migracion
23,33,18,CREATIVO,SOLIDO,1,,,0.74,,MARGARITA,NO,FALSE,2026-05-25,migracion
24,34,18,CREATIVO,SOLIDO,1,,,1.51,,MARGARITA,NO,FALSE,2026-05-25,migracion
25,35,18,CREATIVO,SOLIDO,1,,,0.13,,MARGARITA,NO,FALSE,2026-05-25,migracion
26,36,18,CREATIVO,SOLIDO,1,,,0.03,,MARGARITA,NO,FALSE,2026-05-25,migracion
27,37,19,CREATIVO,SOLIDO,1,,,0.74,,MARGARITA,NO,FALSE,2026-05-25,migracion
28,38,19,CREATIVO,SOLIDO,1,,,1.51,,MARGARITA,NO,FALSE,2026-05-25,migracion
29,39,19,CREATIVO,SOLIDO,1,,,0.13,,MARGARITA,NO,FALSE,2026-05-25,migracion
30,40,19,CREATIVO,SOLIDO,1,,,0.03,,MARGARITA,NO,FALSE,2026-05-25,migracion
31,41,20,CREATIVO,SOLIDO,1,,,3.3,,FER,SI,FALSE,2026-05-25,migracion
32,42,20,CREATIVO,SOLIDO,1,,,2.03,,FER,SI,FALSE,2026-05-25,migracion
33,43,20,CREATIVO,SOLIDO,1,,,0.42,,FER,SI,FALSE,2026-05-25,migracion
34,44,21,CREATIVO,SOLIDO,1,,,2.35,,MARIA BURGOS,SI,FALSE,2026-05-25,migracion
35,46,21,CREATIVO,SOLIDO,1,,,0.54,,MARIA BURGOS,SI,FALSE,2026-05-25,migracion
36,48,23,CREATIVO,SOLIDO,1,,,2.6,,OSMAN,SI,FALSE,2026-05-25,migracion
37,50,24,CREATIVO,SOLIDO,1,,,2.25,,YAMILETH,NO,FALSE,2026-05-25,migracion
38,51,24,CREATIVO,SOLIDO,1,,,0.34,,YAMILETH,NO,FALSE,2026-05-25,migracion
39,53,25,CREATIVO,SOLIDO,1,,,1.19,,MARIA DEL MAR,SI,FALSE,2026-05-25,migracion
40,55,25,CREATIVO,SOLIDO,1,,,0.44,,MARIA DEL MAR,SI,FALSE,2026-05-25,migracion
41,56,25,CREATIVO,SOLIDO,1,,,0.38,,MARIA DEL MAR,SI,FALSE,2026-05-25,migracion
42,59,26,CREATIVO,SOLIDO,1,,,4.27,,FER,SI,FALSE,2026-05-25,migracion
43,60,29,CREATIVO,SOLIDO,1,,,2.0,,OSMAN,SI,FALSE,2026-05-25,migracion
44,67,31,CREATIVO,SOLIDO,1,,,4.5,,OSMAN,SI,FALSE,2026-05-25,migracion
45,68,31,CREATIVO,SOLIDO,1,,,0.35,,OSMAN,SI,FALSE,2026-05-25,migracion
46,70,31,CREATIVO,SOLIDO,1,,,1.0,,OSMAN,SI,FALSE,2026-05-25,migracion
47,73,32,CREATIVO,SOLIDO,1,,,4.02,,MARIA BURGOS,SI,FALSE,2026-05-25,migracion
48,74,32,CREATIVO,SOLIDO,1,,,0.11,"Consumo lineal (2.32 mts), Ancho sesgo (3 cms), Sentido al SESGO",MARIA BURGOS,SI,FALSE,2026-05-25,migracion
49,75,32,CREATIVO,SOLIDO,1,,,0.03,"Consumo lineal (1.50 mts), Ancho sesgo (3 cms), Sentido al TRAVEZ",MARIA BURGOS,SI,FALSE,2026-05-25,migracion
50,76,33,CREATIVO,SOLIDO,1,,,1.7,LAS CENEFAS INCLUIDAS EN LA MODIFICACION,YAMILETH,SI,FALSE,2026-05-25,migracion
51,78,33,CREATIVO,SOLIDO,1,,,1.45,,YAMILETH,SI,FALSE,2026-05-25,migracion
52,79,33,CREATIVO,SOLIDO,1,,,0.52,,YAMILETH,SI,FALSE,2026-05-25,migracion
53,81,35,CREATIVO,SOLIDO,1,,,1.17,,MARGARITA,SI,FALSE,2026-05-25,migracion
54,83,35,CREATIVO,SOLIDO,1,,,0.41,,MARGARITA,SI,FALSE,2026-05-25,migracion
55,84,37,CREATIVO,SOLIDO,1,,,0.69,,MARIA DEL MAR,SI,FALSE,2026-05-25,migracion
56,86,37,CREATIVO,SOLIDO,1,,,0.15,,MARIA DEL MAR,SI,FALSE,2026-05-25,migracion
57,87,37,CREATIVO,SOLIDO,1,,,0.15,,MARIA DEL MAR,SI,FALSE,2026-05-25,migracion
58,89,39,CREATIVO,SOLIDO,1,,,0.49,,FER,SI,FALSE,2026-05-25,migracion
59,90,40,CREATIVO,SOLIDO,1,,,0.5,,CLAUDIA,NO,FALSE,2026-05-25,migracion
60,93,41,CREATIVO,SOLIDO,1,,,0.5,,YAMILETH,NO,FALSE,2026-05-25,migracion
61,94,41,CREATIVO,SOLIDO,1,,,0.12,,YAMILETH,NO,FALSE,2026-05-25,migracion
62,95,41,CREATIVO,SOLIDO,1,,,0.02,TIRA DE 3.4CM AL HILO LARGO 6.14 PARA TERMINACIONES,YAMILETH,NO,FALSE,2026-05-25,migracion
63,97,42,CREATIVO,SOLIDO,1,,,3.5,,FER,SI,FALSE,2026-05-25,migracion
64,98,42,CREATIVO,SOLIDO,1,,,3.0,,FER,SI,FALSE,2026-05-25,migracion
65,100,42,CREATIVO,SOLIDO,1,,,0.42,,FER,SI,FALSE,2026-05-25,migracion
66,101,44,CREATIVO,SOLIDO,1,,,0.2,,YAMILETH,NO,FALSE,2026-05-25,migracion
67,102,44,CREATIVO,SOLIDO,1,,,0.24,,YAMILETH,NO,FALSE,2026-05-25,migracion
68,103,44,CREATIVO,SOLIDO,1,,,0.2,,YAMILETH,NO,FALSE,2026-05-25,migracion
