ID_CONSUMO,ID_TELA,ID_REFERENCIA,AREA,TIPO_TELA,VERSION,TALLA,UND,CONSUMO_VALOR,OBSERVACIONES,DISEÑADOR,ES_FINAL,FECHA_REGISTRO,USUARIO_REGISTRO
80,2,2,TECNICO,SOLIDO,1,,,2.09,"SE TRABAJO UN ANCHO DE 1,39 TENIENDO EN CUENTA LOS HALLAZGOS DE PLANTA DE PRODUCCION (LAS PRETINAS QUEDARON CON MARGEN DE FUSINABLE Y ENCOGIMIENTO)",DANIELA GARCIA,FALSE,2026-05-25,migracion
81,3,2,TECNICO,SOLIDO,1,,,1.42,LAS PRETINAS QUEDARON CON MARGEN DE FUSIONABLE Y ENCOGIMIENTO,DANIELA GARCIA,FALSE,2026-05-25,migracion
82,4,2,TECNICO,SOLIDO,1,,,0.13,,DANIELA GARCIA,FALSE,2026-05-25,migracion
83,24,15,TECNICO,SOLIDO,1,,,2.17,,MARISOL R.,FALSE,2026-05-25,migracion
84,25,15,TECNICO,SOLIDO,1,,,0.1,,MARISOL R.,FALSE,2026-05-25,migracion
85,26,15,TECNICO,SOLIDO,1,,,0.09,"TIRA CONTINUA ESCOTE Consumo lineal (4.50 mts), Ancho sesgo (3 cms), Sentido al TRAVEZ",MARISOL R.,FALSE,2026-05-25,migracion
86,27,15,TECNICO,SOLIDO,1,,,0.17,"Consumo lineal (7.50 mts), Ancho sesgo (3.5 cms), Sentido al TRAVEZ",MARISOL R.,FALSE,2026-05-25,migracion
87,37,19,TECNICO,SOLIDO,1,,,0.47,,LINA P.,FALSE,2026-05-25,migracion
88,38,19,TECNICO,SOLIDO,1,,,0.12,"TIRA CONTINUA PARA SISA, ESCOTE Y PIERNAS DE 3,5 CMTS ANCHO X 5,25 CMT LINEALES",LINA P.,FALSE,2026-05-25,migracion
89,39,19,TECNICO,SOLIDO,1,,,1.05,,LINA P.,FALSE,2026-05-25,migracion
90,40,19,TECNICO,SOLIDO,1,,,0.19,,LINA P.,FALSE,2026-05-25,migracion
91,44,21,TECNICO,MOD_ARTE,1,,,4.0,,KELLY M.,FALSE,2026-05-25,migracion
92,46,21,TECNICO,MOD_ARTE,1,,,0.66,,KELLY M.,FALSE,2026-05-25,migracion
93,50,24,TECNICO,MOD_ARTE,1,,,2.23,TRAZO MOD. DE ARTE X 1 UND,,FALSE,2026-05-25,migracion
94,51,24,TECNICO,MOD_ARTE,1,,,0.37,,,FALSE,2026-05-25,migracion
95,53,25,TECNICO,MOD_ARTE,1,,,2.6,SE CAMBIA EL DISEÑO AL ARTE REFERENTE DE SV25 REF 64 RAIZ RITUAL MINI DRESS  PT03052,CRISTIAN GOMEZ,FALSE,2026-05-25,migracion
96,53,25,TECNICO,MOD_ARTE,2,,,1.9,SE CAMBIA EL DISEÑO AL ARTE REFERENTE DE SV25 REF 64 RAIZ RITUAL MINI DRESS  PT03052,CRISTIAN GOMEZ,FALSE,2026-05-25,migracion
97,55,25,TECNICO,MOD_ARTE,1,,,0.38,,CRISTIAN GOMEZ,FALSE,2026-05-25,migracion
98,56,25,TECNICO,MOD_ARTE,1,,,0.36,,CRISTIAN GOMEZ,FALSE,2026-05-25,migracion
99,58,25,TECNICO,MOD_ARTE,1,,,0.15,"Consumo lineal (0.10 mts), Ancho sesgo (3 cms), Sentido al TRAVEZ",CRISTIAN GOMEZ,FALSE,2026-05-25,migracion
100,60,29,TECNICO,MOD_ARTE,1,,,3.13,,LINA DELGADO,FALSE,2026-05-25,migracion
101,67,31,TECNICO,SOLIDO,1,,,2.81,"CONSUMO UBICACION EN TRAZO ANCHO TELA 1.28(SE MIDIO LA TELA) tambien se da consumo en solido con ancho de 1.39Lino,",CLAUDIA R,FALSE,2026-05-25,migracion
102,67,31,TECNICO,UBICACION_TRAZO,1,,,6.24,"CONSUMO UBICACION EN TRAZO ANCHO TELA 1.28(SE MIDIO LA TELA) tambien se da consumo en solido con ancho de 1.39Lino,",CLAUDIA R,FALSE,2026-05-25,migracion
103,68,31,TECNICO,UBICACION_TRAZO,1,,,8.33,,CLAUDIA R,FALSE,2026-05-25,migracion
104,69,31,TECNICO,UBICACION_TRAZO,1,,,0.04,"Consumo lineal (0.74 mts), Ancho sesgo (3 cms), Sentido al SESGO",CLAUDIA R,FALSE,2026-05-25,migracion
105,70,31,TECNICO,UBICACION_TRAZO,1,,,0.47,,CLAUDIA R,FALSE,2026-05-25,migracion
106,71,31,TECNICO,UBICACION_TRAZO,1,,,0.3,"Consumo lineal (6.93 mts), Ancho sesgo (2.5 cms), Sentido al SESGO",CLAUDIA R,FALSE,2026-05-25,migracion
107,72,31,TECNICO,UBICACION_TRAZO,1,,,0.33,"Consumo lineal (6.93 mts), Ancho sesgo (2.5 cms), Sentido al SESGO",CLAUDIA R,FALSE,2026-05-25,migracion
108,73,32,TECNICO,UBICACION_TRAZO,1,,,4.22,CONSUMO CON UBICACION EN TRAZO,MARIA BURGOS,FALSE,2026-05-25,migracion
109,73,32,TECNICO,UBICACION_TRAZO,2,,,3.3,CONSUMO CON UBICACION EN TRAZO,MARIA BURGOS,FALSE,2026-05-25,migracion
110,74,32,TECNICO,UBICACION_TRAZO,1,,,0.11,"Consumo lineal (2.45 mts), Ancho sesgo (3 cms), Sentido al SESGO",MARIA BURGOS,FALSE,2026-05-25,migracion
