ID_INSUMO,ID_REFERENCIA,NOMBRE_INSUMO,CONSUMO_CREATIVO,CONSUMO_TECNICO,CONSUMO_TRAZO,CONSUMO_CONTRAMUESTRA,OBSERVACIONES
1,2,RESORTE PLANO DE 7 MM,,0.31,,,
2,2,CINTA RAZO  DE  3 MM,,0.44,,,
3,2,HILO RESORTE  BLANCO,,,,,
4,5,ELASTICO TRANSPARENTE,,,,,
5,7,BOLILLO DE 2.5 CMS,,,,,
6,7,BOLILLO DE 1.2 CMS,,,,,
7,9,ELASTICO TRANSPARENTE,,,,,
8,9,ELASTICO 7MM,,,,,
9,15,ELASTICO TRANSPARTETE,,12.0,,,
10,16,ELASTICO TRANSPARENTE,,,,,
11,16,TENSORES 8MM,,,,,
12,16,ARGOLLAS 8 MM,,,,,
13,17,ELASTICO TRANSPARENTE,,,,,
14,17,HEBILLA JO,,,,,
15,17,RESORTE DE 0.5 MM,,,,,
16,19,ELASTICO TRANSPARENTE,,,,,
17,21,ELÁSTICO EN CINTURA POSTERIOR: 0.60MT,,,,,
18,23,CINTA ILUSION,,,,,
19,23,ELASTICO 0.7:  0.90MT,,,,,
20,24,RESORTE 7MM,,,,,
21,24,CINTA RASSO 3 MM,,,,,
22,25,FRAMILON 2.5CM,,,,,
23,25,HILO RESORTE,,,,,
24,25,ELASTICO 7MM,,,,,
25,25,CINTA RASSO (SE AGREGA),,,,,
26,29,CINTA ILUSION,,,,,
27,29,ELASTICO 0.7,,,,,
28,29,CORDON COLA DE RATA,,,,,
29,31,BOLILLO #1 INN0000991,,,,,
30,31,BOLILLO #2 INN0006838,,,,,
31,31,BOLILLO #3 INN0006662,,,,,
32,32,BOLILLO CONTORNOS INL0006953,,,,,
33,37,ELASTICO TRANSPARENTE,,,,,
34,39,VELVET ELASTICO NEGRO DE 2 CMS,,2.0,,,
35,39,CINTA RAZO NEGRA DE 7 MM,,,,,
36,40,ELASTICO TRANSPARENTE,,,,,
37,41,ELASTIC TRANSPARENTE,,,,,
38,44,ELASTICO TRANSPARETE,,,,,
39,44,VARILLA,,,,,
40,45,ELASTICO TRANSPARENTE,,,,,
41,46,ELASTICO TRANSPARENTE,,,,,
42,48,ELASTICO TRANSPARENTE,,,,,
43,48,BANDA ELASTICA 7MM,,,,,
44,48,FRAMILON 2.5CM DE ANCHO,,,,,
45,48,CORDON COLA DE RATA,,,,,
46,49,ESCALERILLA INL0006953,,,,,
47,49,CINTA BOLILLO CRUDO  INN0007416,,,,,
48,50,CINTA ILUSION EN RUEDO,,,,,
49,50,CINTA ILUSION PARA COLGAR,,,,,
50,50,ELASTICO 5 CM,,,,,
51,50,"ELASTICO DE 1,5 CM",,,,,
